HTS_Code,Description,List
0203.29.20,"Frozen retail cuts of meat of swine, nesoi",3
0203.29.40,"Frozen meat of swine, other than retail cuts, nesoi",3
0206.10.00,"Edible offal of bovine animals, fresh or chilled",3
0208.10.00,"Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",3
0208.90.20,"Meat and edible offal of deer, fresh, chilled or frozen",3
0208.90.25,"Frog legs, fresh, chilled or frozen",3
0210.19.00,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",3
0301.11.00,Live ornamental freshwater fish,3
0301.19.00,"Live ornamental fish, other than freshwater",3
0301.91.00,Live trout,3
0301.92.00,Live eels,3
0301.93.02,Live carp,3
0301.94.01,"Other live Fish, Atlantic & Pacific Bluefin Tunas",3
0301.95.00,"Other live Fish, Southern Bluefin Tunas",3
0301.99.03,"Live Tench (Tinca Tinca), sheatfish (Silurus Glanis), bighead carp (Aristichthys Nobilis) and other fish, nesoi",3
0302.11.00,"Trout, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.13.00,"Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.14.00,"Atlantic and Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.19.00,"Salmonidae other than trout or Pacific, Atlantic & Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers & roes",3
0302.21.00,"Halibut and Greenland turbot, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.22.00,"Plaice, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.23.00,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.24.00,Turbots,3
0302.29.01,"Flat fish, nesoi, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.31.00,"Albacore or longfinned tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.32.00,"Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.33.00,"Skipjack or stripe-bellied bonito, fresh or chilled, excluding fillets, other meat portions, livers and roes 11 HTSUS Product Description Subheading",3
0302.34.00,"Bigeye tunas (Thunnas obesus), fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.35.01,"Atlantic & Pacific bluefin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.36.00,"Southern bluefin tunas (Thunnas maccoyii), fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.39.02,"Tunas not elsewhere specified or included, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.41.00,"Herrings, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.42.00,"Anchovies, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg",3
0302.43.00,"Sardines, sardinella, brisling or sprats, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.44.00,"Mackerel, excl. fillets, livers & roes, fresh or chilled",3
0302.45.11,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg",3
0302.45.50,"Jack & horse mackerel excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers > 6.8 kg",3
0302.46.11,"Cobia, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less",3
0302.46.50,"Cobia, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg",3
0302.47.00,"Swordfish, fresh or chilled, excluding livers and roes",3
0302.49.00,"Herrings, anchovies, sardines, nesoi",3
0302.51.00,"Cod, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.52.00,"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.53.00,"Coalfish, fresh or chilled, excluding fillets, other meat portions, livers and roes",3
0302.54.11,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less",3
0302.54.50,"Hake,excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg",3
0302.55.11,"Alaska pollack, excl. fillets, livers,roes, fresh or chilled, scaled, in immediate containers weighing with their contents< 6.8 kg",3
0302.55.50,"Alaska pollack excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg",3
0302.56.11,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg",3
0302.56.50,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg",3
