HTS_Code,Description,List
2710.19.30,"Lubricating oils, w/or w/o additives, fr. petro oils and bitumin minerals (o/than crude) or preps. 70%+ by wt. fr. petro oils",2
2710.19.35,Lubricating greases from petro oil/bitum min/70%+ by wt. fr. petro. oils but n/o 10% by wt. of fatty acid salts animal/vegetable origin,2
2710.19.40,Lubricating greases from petro oil/bitum min/70%+ by wt. fr. petro. oils > 10% by wt. of fatty acid salts animal/vegetable origin,2
3403.19.10,Lubricating preparations containing 50% but less than 70% by weight of petroleum oils or of oils obtained from bituminous minerals,2
3403.19.50,Lubricating preparations containing less than 50% by weight of petroleum oils or of oils from bituminous minerals,2
3403.99.00,"Lubricating preparations (incl. lubricant-based preparations), nesoi",2
3811.21.00,Additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals,2
3811.29.00,"Additives for lubricating oils, nesoi",2
3901.10.10,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms",2
3901.10.50,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",2
3901.20.10,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",2
3901.20.50,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",2
3901.30.20,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers",2
3901.30.60,"Ethylene-vinyl acetate copolymers, nesoi",2
3901.90.10,"Polymers of ethylene, nesoi, in primary forms, elastomeric",2
3901.90.55,"Ethylene copolymers, in primary forms, other than elastomeric",2
3901.90.90,"Polymers of ethylene, nesoi, in primary forms, other than elastomeric",2
3902.10.00,"Polypropylene, in primary forms",2
3902.20.10,"Polyisobutylene, elastomeric, in primary forms",2
3902.20.50,"Polyisobutylene, other than elastomeric, in primary forms",2
3902.30.00,"Propylene copolymers, in primary forms",2
3902.90.00,"Polymers of propylene or of other olefins, nesoi, in primary forms",2
3903.11.00,"Polystyrene, expandable, in primary forms",2
3903.19.00,"Polystyrene, other than expandable, in primary forms",2
3903.20.00,"Styrene-acrylonitrile (SAN) copolymers, in primary forms",2
3903.30.00,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",2
3903.90.10,"Methyl methacrylate-butadiene-styrene (MBS) copolymers, in primary forms",2
3903.90.50,"Polymers of styrene, nesoi, in primary forms",2
3904.10.00,"Polyvinyl chloride, not mixed with any other substances, in primary forms",2
3904.21.00,"Polyvinyl chloride, mixed with other substances, nonplasticized, in primary forms",2
3904.22.00,"Polyvinyl chloride, mixed with other substances, plasticized, in primary forms HTSUS Product Description Subheading",2
3904.30.20,"Vinyl chloride copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/< 50% deriv vinyl acetate, exc polymer aromatic/mod arom monomers",2
3904.30.60,"Vinyl chloride-vinyl acetate copolymers, nesoi",2
3904.40.00,"Vinyl chloride copolymers nesoi, in primary forms",2
3904.50.00,"Vinylidene chloride polymers, in primary forms",2
3904.61.00,"Polytetrafluoroethylene (PTFE), in primary forms",2
3904.69.10,"Fluoropolymers, elastomeric, other than polytetrafluoroethylene, in primary forms",2
3904.69.50,"Fluoropolymers, other than elastomeric and other than polytetrafluoroethylene, in primary forms",2
3904.90.10,"Polymers of vinyl chloride or of other halogenated olefins, nesoi, in primary forms, elastomeric, in primary forms",2
3904.90.50,"Polymers of vinyl chloride or of other halogenated olefins, nesoi, in primary forms, other than elastomeric, in primary forms",2
3905.12.00,"Polyvinyl acetate, in aqueous dispersion",2
3905.19.00,"Polyvinyl acetate, other than in aqueous dispersion, in primary forms",2
3905.21.00,"Vinyl acetate copolymers, in aqueous dispersion",2
3905.29.00,"Vinyl acetate copolymers, other than in aqueous dispersion, in primary forms",2
3905.30.00,"Polyvinyl alcohols, whether or not containing unhydrolyzed acetate groups, in primary forms",2
3905.91.10,"Copolymers of vinyl esters or other vinyls, in primary forms, containing by weight 50% or more of derivatives of vinyl acetate",2
3905.91.50,"Copolymers of vinyl esters or other vinyls, in primary forms, nesoi",2
3905.99.80,"Polymers of vinyl esters or other vinyl polymers, in primary forms, nesoi",2
3906.10.00,"Polymethyl methacrylate, in primary forms",2
3906.90.10,"Acrylic polymers (except PMMA) in primary forms, elastomeric",2
3906.90.20,"Acrylic plastics polymers (except PMMA), in primary forms, nonelastomeric",2
3906.90.50,"Acrylic polymers (except plastics or elastomers), in primary forms, nesoi",2
3907.10.00,Polyacetals in primary forms,2
3907.20.00,"Polyethers, other than polyacetals, in primary forms",2
3907.30.00,Epoxide resins in primary forms,2
3907.40.00,Polycarbonates in primary forms,2
3907.50.00,Alkyd resins in primary forms,2
3907.61.00,"Polyethylene terephthalate, having a viscosity number of 78 ml/g or higher",2
3907.69.00,"Polyethylene terephthalate, having a viscosity number less than 78 ml/g",2
3907.70.00,Poly(lactic acid),2
3907.91.20,"Unsaturated allyl resins, uncompounded",2
3907.91.40,"Unsaturated allyl resins, nesoi",2
3907.91.50,"Unsaturated polyesters, other than allyl resins in primary forms",2
3907.99.20,Thermoplastic liquid crystal aromatic polyester copolymers,2
3907.99.50,"Other polyesters nesoi, saturated, in primary forms",2
3908.10.00,"Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12 in primary form",2
3908.90.20,Bis(4-amino-3-methylcyclohexyl)methaneisophthalic acid-laurolactam copolymer HTSUS Product Description Subheading,2
3908.90.70,Other polyamides in primary forms,2
3909.10.00,Urea resins; thiourea resins,2
3909.20.00,Melamine resins,2
3909.40.00,Phenolic resins,2
3909.50.10,"Polyurethanes, elastomeric, in primary forms",2
3909.50.20,"Polyurethanes: cements, in primary forms",2
3909.50.50,"Polyurethanes, other than elastomeric or cements, in primary forms",2
3910.00.00,Silicones in primary forms,2
3911.10.00,"Petroleum resins, coumarone, indene, or coumarone-indene resins and polyterpenes, in primary forms",2
3911.90.10,"Elastomeric polysulfides, polysulfones and other products specified in note 3 to chapter 39, nesoi, in primary forms",2
3911.90.15,Specified carbodiimide or homopolymer with polyethylene thermoplastic goods,2
3911.90.25,"Thermoplastic polysulfides, polysulfones & oth products spec in note 3, chapt 39, cont aromatic monomer units or derived therefrom",2
3911.90.35,Benzenamine; and hydrocarbon novolac cyanate ester,2
3911.90.45,"Thermosetting polysulfides, polysulfones & oth products spec in note 3, chapt 39, cont aromatic monomer units or derived therefrom",2
3911.90.70,Chlorinated synthetic rubber,2
3911.90.90,"Polysulfides, polysulfones & other products specified in note 3 to chapter 39, nesoi",2
3912.12.00,"Cellulose acetates, nesoi, in primary forms, plasticized",2
3912.20.00,"Cellulose nitrates (including collodions), in primary forms",2
